epoch,accuracy,learning_rate,loss,top2_acc,val_accuracy,val_loss,val_top2_acc
0,0.711309552192688,9.999999747378752e-06,2.6275222301483154,0.9317765831947327,0.7767612338066101,1.7680389881134033,0.9762122631072998
1,0.7355769276618958,9.999999747378752e-06,2.5141661167144775,0.9482600688934326,0.7776761054992676,1.7777860164642334,0.977127194404602
2,0.745192289352417,9.999999747378752e-06,2.4664957523345947,0.9574176073074341,0.7785910367965698,1.7669504880905151,0.9762122631072998
3,0.7449633479118347,9.999999747378752e-06,2.4559385776519775,0.956501841545105,0.7776761054992676,1.7643550634384155,0.9725525975227356
4,0.7612179517745972,9.999999747378752e-06,2.405226469039917,0.9629120826721191,0.784995436668396,1.7525403499603271,0.977127194404602
5,0.7653388381004333,9.999999747378752e-06,2.38832426071167,0.9688644409179688,0.7831655740737915,1.7405006885528564,0.977127194404602
6,0.7543498277664185,9.999999747378752e-06,2.3762292861938477,0.9663461446762085,0.7840805053710938,1.7308659553527832,0.9817017316818237
7,0.7586996555328369,9.999999747378752e-06,2.3691461086273193,0.9688644409179688,0.7776761054992676,1.7297195196151733,0.979871928691864
8,0.7662546038627625,9.999999747378752e-06,2.3403449058532715,0.9764193892478943,0.7666971683502197,1.7271754741668701,0.9789569973945618
9,0.7635073065757751,9.999999747378752e-06,2.3340723514556885,0.9725274443626404,0.7657822370529175,1.7221280336380005,0.979871928691864
10,0.7584707140922546,9.999999747378752e-06,2.3156754970550537,0.9748168587684631,0.7630375027656555,1.7122353315353394,0.9853613972663879
11,0.7692307829856873,9.999999747378752e-06,2.290335178375244,0.9796245694160461,0.76486736536026,1.7046968936920166,0.9835315942764282
12,0.7685439586639404,9.999999747378752e-06,2.2809009552001953,0.9773351550102234,0.7621225714683533,1.6969318389892578,0.9853613972663879
13,0.7706043720245361,9.999999747378752e-06,2.2759203910827637,0.9750458002090454,0.7548032999038696,1.6883854866027832,0.9835315942764282
14,0.7724359035491943,9.999999747378752e-06,2.255784749984741,0.9771062135696411,0.7538883686065674,1.6880097389221191,0.982616662979126
15,0.7715201377868652,9.999999747378752e-06,2.242382526397705,0.9789377450942993,0.7557182312011719,1.680296778678894,0.982616662979126
16,0.7710622549057007,9.999999747378752e-06,2.230836868286133,0.978708803653717,0.7538883686065674,1.668495535850525,0.9844464659690857
17,0.7770146727561951,9.999999747378752e-06,2.2185556888580322,0.9819139242172241,0.7511436343193054,1.6698250770568848,0.9835315942764282
18,0.7758699655532837,9.999999747378752e-06,2.2105276584625244,0.9798534512519836,0.7346752285957336,1.6684609651565552,0.979871928691864
19,0.7799908518791199,9.999999747378752e-06,2.194979667663574,0.9821428656578064,0.7355901002883911,1.6528561115264893,0.9844464659690857
