epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.903835117816925,9.999999747378752e-06,0.5116205811500549,0.9885583519935608,0.3738529682159424
1,0.9318832159042358,9.999999747378752e-06,0.4640360176563263,0.986270010471344,0.37713488936424255
2,0.9433314204216003,9.999999747378752e-06,0.4409341812133789,0.9794050455093384,0.380151629447937
3,0.9570692777633667,9.999999747378752e-06,0.43360093235969543,0.9794050455093384,0.3811993896961212
4,0.9496279358863831,9.999999747378752e-06,0.43591660261154175,0.9794050455093384,0.3812123239040375
5,0.9582141041755676,9.999999747378752e-06,0.42830154299736023,0.986270010471344,0.3754192888736725
6,0.9616485238075256,9.999999747378752e-06,0.4107864499092102,0.986270010471344,0.3716907203197479
7,0.9702346920967102,9.999999747378752e-06,0.4000760018825531,0.986270010471344,0.370948851108551
8,0.9696622490882874,9.999999747378752e-06,0.4053102731704712,0.9885583519935608,0.36617887020111084
9,0.9696622490882874,9.999999747378752e-06,0.3981544077396393,0.986270010471344,0.3639446496963501
10,0.9673726558685303,9.999999747378752e-06,0.40445220470428467,0.9885583519935608,0.35977667570114136
11,0.9713795185089111,9.999999747378752e-06,0.3941589593887329,0.9885583519935608,0.35681045055389404
12,0.9685174822807312,9.999999747378752e-06,0.3941883146762848,0.9885583519935608,0.3566027283668518
13,0.9776760339736938,9.999999747378752e-06,0.3859415054321289,0.9908466935157776,0.3540649712085724
14,0.9782484173774719,9.999999747378752e-06,0.3773218095302582,0.9908466935157776,0.3526622951030731
15,0.9742415547370911,9.999999747378752e-06,0.3796509802341461,0.9908466935157776,0.35120517015457153
16,0.9782484173774719,9.999999747378752e-06,0.3726879358291626,0.9908466935157776,0.34966591000556946
17,0.977103590965271,9.999999747378752e-06,0.37546372413635254,0.9931350350379944,0.34724122285842896
18,0.9822552800178528,9.999999747378752e-06,0.3676881790161133,0.9931350350379944,0.3452869951725006
19,0.9742415547370911,9.999999747378752e-06,0.37699320912361145,0.9931350350379944,0.3437524437904358
20,0.9793932437896729,9.999999747378752e-06,0.36967432498931885,0.9931350350379944,0.34283125400543213
21,0.977103590965271,9.999999747378752e-06,0.3692720830440521,0.9931350350379944,0.34241610765457153
22,0.975386381149292,9.999999747378752e-06,0.3705734312534332,0.9931350350379944,0.3419497013092041
23,0.973669171333313,9.999999747378752e-06,0.3701123297214508,0.9931350350379944,0.33993083238601685
24,0.9765312075614929,9.999999747378752e-06,0.3643617630004883,0.9931350350379944,0.3391934931278229
25,0.9799656271934509,9.999999747378752e-06,0.3589175343513489,0.9931350350379944,0.3374837636947632
26,0.9816828966140747,9.999999747378752e-06,0.35342565178871155,0.9931350350379944,0.3358766734600067
27,0.977103590965271,9.999999747378752e-06,0.3603307604789734,0.9931350350379944,0.33531060814857483
28,0.9776760339736938,9.999999747378752e-06,0.3554167151451111,0.9931350350379944,0.33486512303352356
29,0.9799656271934509,9.999999747378752e-06,0.3515172600746155,0.9931350350379944,0.33217692375183105
30,0.9816828966140747,9.999999747378752e-06,0.35027608275413513,0.9908466935157776,0.3338451385498047
31,0.9839725494384766,9.999999747378752e-06,0.34607914090156555,0.9908466935157776,0.3321417570114136
32,0.973669171333313,9.999999747378752e-06,0.35594692826271057,0.9931350350379944,0.32986146211624146
